Zona ,Tipo Tarifa – Num,Tipo Tarifa,Calle,Altura Inicial,Altura Final
1,2,Simple,ITUZAINGO,501,1000
1,2,Simple,ITUZAINGO,1101,1200
1,2,Simple,JOVELLANOS GASPAR M. de,1,600
1,2,Simple,JOVELLANOS GASPAR M. de,701,1400
1,1,Proqresiva,JUFRE,1,100
1,1,Proqresiva,JUJUY AV.,101,400
1,2,Simple,JUJUY AV.,1201,1800
1,1,Progresiva,JUNCAL,601,800
1,1,Proqresiva,JUNCAL,1401,1500
1,1,Proqresiva,JUNIN,1,700
1,2,Simple,KING,301,400
1,1,Progresiva,LA MBIDA [N) AV.,1,139
1,1,Progresiva,LA RABIDA (N) AV.,2,140
1,2,Simple,LA RIOJA,501,900
1,2,Simple,LA RIOJA,1001,1740
1,2,Simple,LA RIOJA,1721,1900
1,1,Proqresíva,LAMBARE,801,1300
1,2,Simple,LANTERI JULIETA,1201,1600
1,1,Proqresiva,LARREA,1,100
1,1,Proqresiva,LAVALLE,1,200
1,1,Prowesiva,LAVALLE,1501,1700
1,1,Progresiva,LAVALLE,1681,1716
1,1,Proqresiva,LAVALLE,1701,3100
1,1,Progresiva,LAVALLE',3201,4100
1,1,Proqresiva,LAVALLEJA,701,900
1,1,progresiva,LEZICA,3901,4026
1,1,Progresiva,lEZICA,4001,4500
1,1,Proqresiva,LIBERTAD ,501,700
1,1,Proqresiva,LIBERTAD,1201,1400
1,2,Simple,LIBERTAD,1501,1700
1,2,Simple,LIBERTI TOMAS,1001,1300
1,2,Simple,u BRES,101,200
1,2,Simple,LIMA,1401,1500
1,2,Simple,LI MA,1601,1693
1,1,Proqresiva,LINIERS VIRREY,1,300
1,2,Simple,LINIERS VIRREY,301,400
1,2,Simple,LINIERS VIRREY,497,1600
1,2,Simple,LOPEZ ANAUT PEDRO DR.,4001,4100
1,2,Simpie,LORENZiNI CAROlA.,301,400
1,2,Simple,LOS PATOS,1701,2200
1,1,Progresiva,Loyola,1,32
1,2,Simpls,LUCA ESTEBAN de,1301,1900
1,1,Progresiva,LUCERO,201,300
1,2,Simple,LUZURIAGA,1,300
1,2,Simple,LYNCH MARTA,301,500
1,2,Simple,LYNCH MARTA,511,600
1,1,Progresiva,MAIPU AV.,1202,1300
1,1,Progresiva,MARMOL JOSE,1,500
1,2,Simple,MARMOL JOSE,501,962
1,2,Simple,MARMOL JOSE,961,1300
1,1,Progresiva,MATHEU,1,400
1,2,Simple,MATHEU,601,2200
1,1,Progresiva,MAZA,1,300
1,2,Simple,MAZA,301,400
1,2,Simple,MAZA,501,1600
1,1,Proqresiva,MEDRANO AV.,601,854
1,1,Proqresiva,MEDRANO AV.,851,900
1,1,Proqresiva,MEDRANO AV.,897,1000
1,2,Simple,MELO CARLOS F.,1,500
1,2,Simpie,MEXICO,1,600
1,2,Simple,MEX1CO,1401,3937
1,2,Simple,MEXICO,3928,3955
1,2,Simple,MEXICO,3950,4400
1,2,Simple,MIRINAY,3501,3545
1,2,Simple,MIRINAY,3544,3569
